"INDICE MONIA (Moroccan Overnight Index Average)"
"En millions de dirhams"
"Indice MONIA";"Volume JJ";"Date de référence";"Date de publication"
"2,240 %";11534;26/06/2026;29/06/2026
"2,213 %";9797;25/06/2026;26/06/2026
"2,139 %";13343;24/06/2026;25/06/2026
"2,172 %";14204;23/06/2026;24/06/2026
"2,217 %";12268;22/06/2026;23/06/2026
"2,230 %";10720;19/06/2026;22/06/2026
"2,219 %";11992;18/06/2026;19/06/2026
"2,234 %";11386;16/06/2026;18/06/2026
"2,222 %";9263;15/06/2026;16/06/2026
"2,206 %";11690;12/06/2026;15/06/2026
"2,206 %";11701;11/06/2026;12/06/2026
"2,224 %";9985;10/06/2026;11/06/2026
"2,199 %";11712;09/06/2026;10/06/2026
"2,201 %";11481;08/06/2026;09/06/2026
"2,206 %";11746;05/06/2026;08/06/2026
"2,213 %";11530;04/06/2026;05/06/2026
"2,192 %";11084;03/06/2026;04/06/2026
"2,240 %";11600;02/06/2026;03/06/2026
"2,250 %";9136;01/06/2026;02/06/2026
"2,250 %";11362;26/05/2026;01/06/2026
"2,249 %";9171;25/05/2026;26/05/2026
"2,235 %";7974;22/05/2026;25/05/2026
"2,213 %";10366;21/05/2026;22/05/2026
"2,204 %";12499;20/05/2026;21/05/2026
"2,210 %";14904;19/05/2026;20/05/2026
"2,177 %";14508;18/05/2026;19/05/2026
"2,200 %";12902;15/05/2026;18/05/2026
"2,200 %";12348;14/05/2026;15/05/2026
"2,225 %";15064;13/05/2026;14/05/2026
"2,197 %";14787;12/05/2026;13/05/2026
"2,176 %";14826;11/05/2026;12/05/2026
"2,211 %";12448;08/05/2026;11/05/2026
"2,216 %";13232;07/05/2026;08/05/2026
"2,112 %";18322;06/05/2026;07/05/2026
"2,173 %";15724;05/05/2026;06/05/2026
"2,239 %";10597;04/05/2026;05/05/2026
"2,250 %";10242;30/04/2026;04/05/2026
"2,214 %";11486;29/04/2026;30/04/2026
"2,176 %";12525;28/04/2026;29/04/2026
"2,147 %";15168;27/04/2026;28/04/2026
"2,216 %";12947;24/04/2026;27/04/2026
"2,217 %";10983;23/04/2026;24/04/2026
"2,191 %";11602;22/04/2026;23/04/2026
"2,195 %";10621;21/04/2026;22/04/2026
"2,220 %";9439;20/04/2026;21/04/2026
"2,132 %";12296;17/04/2026;20/04/2026
"2,163 %";13564;16/04/2026;17/04/2026
"2,241 %";7832;15/04/2026;16/04/2026
"2,220 %";9393;14/04/2026;15/04/2026
"2,243 %";9533;13/04/2026;14/04/2026
"2,195 %";11812;10/04/2026;13/04/2026
"2,211 %";12378;09/04/2026;10/04/2026
"2,244 %";9184;08/04/2026;09/04/2026
"2,224 %";9862;07/04/2026;08/04/2026
"2,250 %";8162;06/04/2026;07/04/2026
"2,238 %";14841;03/04/2026;06/04/2026
"2,240 %";17119;02/04/2026;03/04/2026
"2,111 %";28239;01/04/2026;02/04/2026
"2,300 %";18780;31/03/2026;01/04/2026
"2,309 %";13840;30/03/2026;31/03/2026
"2,267 %";17935;27/03/2026;30/03/2026
"2,250 %";13815;26/03/2026;27/03/2026
"2,238 %";12007;25/03/2026;26/03/2026
"2,198 %";12361;24/03/2026;25/03/2026
"2,250 %";9453;19/03/2026;24/03/2026
"2,043 %";14354;18/03/2026;19/03/2026
"2,119 %";16291;17/03/2026;18/03/2026
"2,122 %";17220;16/03/2026;17/03/2026
"2,015 %";16546;13/03/2026;16/03/2026
"2,152 %";11575;12/03/2026;13/03/2026
"2,240 %";12654;11/03/2026;12/03/2026
"2,216 %";13421;10/03/2026;11/03/2026
"2,239 %";10659;09/03/2026;10/03/2026
"2,236 %";10433;06/03/2026;09/03/2026
"2,244 %";14484;05/03/2026;06/03/2026
"2,194 %";13351;04/03/2026;05/03/2026
"2,242 %";14866;03/03/2026;04/03/2026
"2,250 %";9439;02/03/2026;03/03/2026
"2,251 %";6841;27/02/2026;02/03/2026
"2,230 %";12145;26/02/2026;27/02/2026
"2,216 %";11770;25/02/2026;26/02/2026
"2,235 %";15314;24/02/2026;25/02/2026
"2,246 %";10211;23/02/2026;24/02/2026
"2,224 %";16914;20/02/2026;23/02/2026
"2,217 %";12018;19/02/2026;20/02/2026
"2,230 %";17627;18/02/2026;19/02/2026
"2,186 %";14001;17/02/2026;18/02/2026
"2,238 %";16751;16/02/2026;17/02/2026
"2,228 %";15864;13/02/2026;16/02/2026
"2,196 %";14124;12/02/2026;13/02/2026
"2,210 %";12844;11/02/2026;12/02/2026
