date_reference,date_publication,monia_percent,monia_decimal,volume_jj_mmad
2022-06-15,2022-06-16,1.46,0.0146,12784.0
2022-06-16,2022-06-17,1.438,0.014379999999999999,10483.0
2022-06-17,2022-06-20,1.444,0.01444,9291.0
2022-06-20,2022-06-21,1.424,0.01424,8554.0
2022-06-21,2022-06-22,1.428,0.01428,9169.0
2022-06-22,2022-06-23,1.419,0.014190000000000001,9449.0
2022-06-23,2022-06-24,1.432,0.01432,10487.0
2022-06-24,2022-06-27,1.437,0.01437,9434.0
2022-06-27,2022-06-28,1.436,0.01436,11538.0
2022-06-28,2022-06-29,1.433,0.01433,11593.0
2022-06-29,2022-06-30,1.445,0.014450000000000001,11766.0
2022-06-30,2022-07-01,1.467,0.01467,12105.0
2022-07-01,2022-07-04,1.464,0.01464,9683.0
2022-07-04,2022-07-05,1.457,0.014570000000000001,10565.0
2022-07-05,2022-07-06,1.449,0.014490000000000001,11455.0
2022-07-06,2022-07-07,1.438,0.014379999999999999,13145.0
2022-07-07,2022-07-08,1.447,0.01447,13768.0
2022-07-08,2022-07-12,1.461,0.014610000000000001,10793.0
2022-07-12,2022-07-13,1.446,0.014459999999999999,9538.0
2022-07-13,2022-07-14,1.434,0.014339999999999999,11528.0
2022-07-14,2022-07-15,1.444,0.01444,10236.0
2022-07-15,2022-07-18,1.435,0.01435,10228.0
2022-07-18,2022-07-19,1.428,0.01428,10071.0
2022-07-19,2022-07-20,1.435,0.01435,8412.0
2022-07-20,2022-07-21,1.434,0.014339999999999999,8761.0
2022-07-21,2022-07-22,1.446,0.014459999999999999,9073.0
2022-07-22,2022-07-25,1.444,0.01444,8002.0
2022-07-25,2022-07-26,1.443,0.01443,8751.0
2022-07-26,2022-07-27,1.462,0.01462,9631.0
2022-07-27,2022-07-28,1.437,0.01437,8983.0
2022-07-28,2022-07-29,1.445,0.014450000000000001,8570.0
2022-07-29,2022-08-01,1.454,0.014539999999999999,8484.0
2022-08-01,2022-08-02,1.453,0.014530000000000001,9132.0
2022-08-02,2022-08-03,1.457,0.014570000000000001,9305.0
2022-08-03,2022-08-04,1.436,0.01436,12234.0
2022-08-04,2022-08-05,1.469,0.014690000000000002,10173.0
2022-08-05,2022-08-08,1.433,0.01433,8086.0
2022-08-08,2022-08-09,1.442,0.014419999999999999,8599.0
2022-08-09,2022-08-10,1.439,0.01439,7276.0
2022-08-10,2022-08-11,1.44,0.0144,7243.0
2022-08-11,2022-08-12,1.434,0.014339999999999999,7060.0
2022-08-12,2022-08-15,1.402,0.01402,8753.0
2022-08-15,2022-08-16,1.428,0.01428,8108.0
2022-08-16,2022-08-17,1.424,0.01424,8134.0
2022-08-17,2022-08-18,1.434,0.014339999999999999,6872.0
2022-08-18,2022-08-19,1.415,0.014150000000000001,6978.0
2022-08-19,2022-08-22,1.419,0.014190000000000001,6335.0
2022-08-22,2022-08-23,1.42,0.014199999999999999,6009.0
2022-08-23,2022-08-24,1.413,0.01413,8456.0
2022-08-24,2022-08-25,1.419,0.014190000000000001,8740.0
2022-08-25,2022-08-26,1.428,0.01428,7923.0
2022-08-26,2022-08-29,1.418,0.01418,7787.0
2022-08-29,2022-08-30,1.428,0.01428,8141.0
2022-08-30,2022-08-31,1.455,0.01455,8413.0
2022-08-31,2022-09-01,1.428,0.01428,7386.0
2022-09-01,2022-09-02,1.452,0.01452,8331.0
2022-09-02,2022-09-05,1.431,0.01431,5981.0
2022-09-05,2022-09-06,1.434,0.014339999999999999,7532.0
2022-09-06,2022-09-07,1.442,0.014419999999999999,8131.0
2022-09-07,2022-09-08,1.444,0.01444,8361.0
2022-09-08,2022-09-09,1.434,0.014339999999999999,6878.0
2022-09-09,2022-09-12,1.427,0.01427,6544.0
2022-09-12,2022-09-13,1.418,0.01418,7546.0
2022-09-13,2022-09-14,1.423,0.01423,6586.0
2022-09-14,2022-09-15,1.372,0.013720000000000001,8959.0
2022-09-15,2022-09-16,1.409,0.01409,8523.0
2022-09-16,2022-09-19,1.409,0.01409,9281.0
2022-09-19,2022-09-20,1.413,0.01413,8119.0
2022-09-20,2022-09-21,1.422,0.01422,9946.0
2022-09-21,2022-09-22,1.424,0.01424,9431.0
2022-09-22,2022-09-23,1.416,0.014159999999999999,7563.0
2022-09-23,2022-09-26,1.421,0.01421,7715.0
2022-09-26,2022-09-27,1.43,0.0143,7377.0
2022-09-27,2022-09-28,1.366,0.01366,9422.0
2022-09-28,2022-09-29,1.894,0.01894,9434.0
2022-09-29,2022-09-30,1.992,0.01992,11092.0
2022-09-30,2022-10-03,2.002,0.020019999999999996,13620.0
2022-10-03,2022-10-04,1.988,0.01988,6648.0
2022-10-04,2022-10-05,1.968,0.01968,7743.0
2022-10-05,2022-10-06,1.969,0.01969,7313.0
2022-10-06,2022-10-07,1.961,0.019610000000000002,7832.0
2022-10-07,2022-10-11,1.981,0.01981,8163.0
2022-10-11,2022-10-12,1.977,0.01977,7715.0
2022-10-12,2022-10-13,1.966,0.01966,8851.0
2022-10-13,2022-10-14,1.958,0.01958,9983.0
2022-10-14,2022-10-17,1.955,0.01955,6591.0
2022-10-17,2022-10-18,1.944,0.01944,13472.0
2022-10-18,2022-10-19,1.941,0.01941,10272.0
2022-10-19,2022-10-20,1.951,0.01951,9968.0
2022-10-20,2022-10-21,1.932,0.01932,12054.0
2022-10-21,2022-10-24,1.937,0.019370000000000002,11511.0
2022-10-24,2022-10-25,1.942,0.01942,8803.0
2022-10-25,2022-10-26,1.954,0.01954,9627.0
2022-10-26,2022-10-27,1.935,0.01935,7387.0
2022-10-27,2022-10-28,1.932,0.01932,9952.0
2022-10-28,2022-10-31,1.963,0.01963,10142.0
2022-10-31,2022-11-01,1.967,0.01967,14035.0
2022-11-01,2022-11-02,1.955,0.01955,9829.0
2022-11-02,2022-11-03,1.974,0.01974,12438.0
2022-11-03,2022-11-04,1.956,0.01956,8943.0
